AIC,Params,Seasonal_Params,Model,Ljung-Box p-value,Jarque-Bera p-value
1523.0181589401554,"(3, 1, 3)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf7617c310>,0.32874084916385404,0.04103205472586072
1523.0313625006436,"(0, 1, 1)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf61fc01c0>,0.8525077307700497,0.004871393521677125
1523.1561165953347,"(5, 1, 0)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf20627040>,0.8944022039222707,9.791963860673364e-05
1523.3514565152818,"(3, 1, 0)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf449907c0>,0.5633336312942819,0.0004380011111888942
1523.5800890247351,"(3, 1, 0)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf75baf4f0>,0.9579861616026129,0.0042457924276578735
1523.98886188168,"(1, 1, 3)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf962eaaf0>,0.8261095186945528,6.691600171682131e-05
1524.0202985528194,"(0, 1, 1)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf61c1dd00>,0.8571098070791985,0.03989431023179985
1524.0212888560475,"(3, 2, 3)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf458a9910>,0.8881465485394414,0.42643491222560015
1524.1263295679123,"(0, 2, 2)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf72335280>,0.7063591836405526,0.7181269216471995
1524.1613035060823,"(0, 2, 3)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf7293b490>,0.38812166798862213,0.8600398025881228
1524.3927772841234,"(3, 1, 1)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf44d054c0>,0.7184476113140207,0.0033821763137341265
1524.4898030241163,"(3, 2, 0)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf4508c430>,0.7481350942253657,0.20463265913356873
1524.7413883616741,"(1, 2, 2)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf436bed60>,0.599664845972882,0.7261098331650928
1524.7517206977686,"(1, 1, 0)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf42d73f40>,0.9750775549165214,0.051201069311150725
1524.782481481754,"(3, 1, 3)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf86105d60>,0.38953330399290187,0.035068863556698436
1525.1286279316532,"(3, 2, 2)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf56e3a280>,0.6883245876570736,0.1828324416018526
1525.193413802423,"(5, 1, 1)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf46176460>,0.8056346282259326,9.302970460074237e-05
1525.7501599126408,"(1, 1, 1)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf958f6fd0>,0.5237803582985214,0.07952782107780954
1525.772686786002,"(3, 1, 3)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf761998e0>,0.8395111926629361,0.0028897113597833642
1526.128438802725,"(0, 1, 2)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf81885970>,0.9129940375314658,0.008517908232448041
1526.958236066848,"(1, 2, 1)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf436e3490>,0.9304539279745293,0.5957900540625931
1527.0438157127742,"(1, 1, 3)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf83f1e730>,0.9844593992261952,0.0024856954503283024
1527.6117134219642,"(1, 1, 2)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf43095700>,0.9757669545486053,0.01519053391029007
1527.6593863263893,"(1, 1, 2)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf53b37310>,0.8325175304468438,0.04037156283628862
1528.1009370132997,"(0, 1, 2)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf6208fd60>,0.8756662198865177,0.007999253570801815
1528.1054810457545,"(1, 2, 3)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf971fb040>,0.7139588534690344,0.7097670875899562
1528.7784024729056,"(1, 1, 2)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf4307b130>,0.9471710106011489,0.013003627195039282
1529.7243030043246,"(3, 2, 0)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf7657d3a0>,0.770383043312199,0.6913447431438731
1529.7689351463596,"(5, 2, 0)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf00133100>,0.015042221076003585,0.509255952628419
1529.826705918568,"(0, 1, 3)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf71c0fb20>,0.9973272258809295,0.011652074630939344
1530.864882437752,"(0, 1, 3)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf52139550>,0.9714798648404944,0.005103818308022291
1532.3762370144188,"(0, 1, 2)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf621cdf40>,0.8708077378009667,0.03484731397736918
